Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	58	Paragraph count, number of paragraphs
2	DESSC	READNS	81	Sentence count, number of sentences
3	DESWC	READNW	2634	Word count, number of words
4	DESPL	READAPL	1.397	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	0.591	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	32.691	Sentence length, number of words, mean
7	DESSLd	n/a	24.033	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.517	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.876	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	4.550	Word length, number of letters, mean
11	DESWLltd	n/a	2.517	Word length, number of letters, standard deviation
12	PCNARz	n/a	0.192	Text Easability PC Narrativity, z score
13	PCNARp	n/a	57.530	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	-1.097	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	13.790	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	-0.582	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	28.100	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-0.450	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	32.640	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	-0.108	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	46.020	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	1.060	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	85.540	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-1.934	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	2.680	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	-1.923	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	2.740	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.363	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.613	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.463	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.237	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.469	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.360	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.082	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.082	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.062	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.077	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0.388	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.232	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.131	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.150	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0.188	LSA overlap, adjacent paragraphs, mean
43	LSAPP1d	LSAppd	0.159	LSA overlap, adjacent paragraphs, standard deviation
44	LSAGN	LSAGN	0.158	LSA given/new, sentences, mean
45	LSAGNd	n/a	0.182	LSA given/new, sentences, standard deviation
46	LDTTRc	TYPTOKc	0.301	Lexical diversity, type-token ratio, content word lemmas
47	LDTTRa	n/a	0.117	Lexical diversity, type-token ratio, all words
48	LDMTLD	LEXDIVTD	0.530	Lexical diversity, MTLD, all words
49	LDVOCD	LEXDIVVD	0.289	Lexical diversity, VOCD, all words
50	CNCAll	CONi	76.770	All connectives incidence
51	CNCCaus	CONCAUSi	125.015	Causal connectives incidence
52	CNCLogic	CONLOGi	83.523	Logical connectives incidence
53	CNCADC	CONADVCONi	22.399	Adversative and contrastive connectives incidence
54	CNCTemp	CONTEMPi	30.372	Temporal connectives incidence
55	CNCTempx	CONTEMPEXi	4.176	Expanded temporal connectives incidence
56	CNCAdd	CONADDi	9.871	Additive connectives incidence
57	CNCPos	n/a	29.613	Positive connectives incidence
58	CNCNeg	n/a	55.429	Negative connectives incidence
59	SMCAUSv	CAUSV	12.528	Causal verb incidence
60	SMCAUSvp	CAUSVP	20.881	Causal verbs and causal particles incidence
61	SMINTEp	INTEi	11.010	Intentional verbs incidence
62	SMCAUSr	CAUSC	0.647	Ratio of casual particles to causal verbs
63	SMINTEr	INTEC	1.833	Ratio of intentional particles to intentional verbs
64	SMCAUSlsa	CAUSLSA	0.131	LSA verb overlap
65	SMCAUSwn	CAUSWN	0.543	WordNet verb overlap
66	SMTEMP	TEMPta	0.663	Temporal cohesion, tense and aspect repetition, mean
67	SYNLE	SYNLE	6.111	Left embeddedness, words before main verb, mean
68	SYNNP	SYNNP	0.812	Number of modifiers per noun phrase, mean
69	SYNMEDpos	MEDwtm	0.752	Minimal Edit Distance, part of speech
70	SYNMEDwrd	MEDawm	0.915	Minimal Edit Distance, all words
71	SYNMEDlem	MEDalm	0.910	Minimal Edit Distance, lemmas
72	SYNSTRUTa	STRUTa	0.057	Sentence syntax similarity, adjacent sentences, mean
73	SYNSTRUTt	STRUTt	0.039	Sentence syntax similarity, all combinations, across paragraphs, mean
74	DRNP	n/a	373.197	Noun phrase density, incidence
75	DRVP	n/a	214.882	Verb phrase density, incidence
76	DRAP	n/a	38.724	Adverbial phrase density, incidence
77	DRPP	n/a	98.709	Preposition phrase density, incidence
78	DRPVAL	AGLSPSVi	4.176	Agentless passive voice density, incidence
79	DRNEG	DENNEGi	3.417	Negation density, incidence
80	DRGERUND	GERUNDi	29.233	Gerund density, incidence
81	DRINF	INFi	17.464	Infinitive density, incidence
82	WRDNOUN	NOUNi	263.858	Noun incidence
83	WRDVERB	VERBi	118.451	Verb incidence
84	WRDADJ	ADJi	67.958	Adjective incidence
85	WRDADV	ADVi	62.263	Adverb incidence
86	WRDPRO	DENPRPi	68.337	Pronoun incidence
87	WRDPRP1s	n/a	8.352	First person singular pronoun incidence
88	WRDPRP1p	n/a	27.335	First person plural pronoun incidence
89	WRDPRP2	PRO2i	16.705	Second person pronoun incidence
90	WRDPRP3s	n/a	0.759	Third person singular pronoun incidence
91	WRDPRP3p	n/a	7.213	Third person plural pronoun incidence
92	WRDFRQc	FRCLacwm	2.348	CELEX word frequency for content words, mean
93	WRDFRQa	FRCLaewm	3.119	CELEX Log frequency for all words, mean
94	WRDFRQmc	FRCLmcsm	1.761	CELEX Log minimum frequency for content words, mean
95	WRDAOAc	WRDAacwm	356.903	Age of acquisition for content words, mean
96	WRDFAMc	WRDFacwm	576.834	Familiarity for content words, mean
97	WRDCNCc	WRDCacwm	364.008	Concreteness for content words, mean
98	WRDIMGc	WRDIacwm	391.142	Imagability for content words, mean
99	WRDMEAc	WRDMacwm	421.951	Meaningfulness, Colorado norms, content words, mean
100	WRDPOLc	POLm	3.885	Polysemy for content words, mean
101	WRDHYPn	HYNOUNaw	5.402	Hypernymy for nouns, mean
102	WRDHYPv	HYVERBaw	1.671	Hypernymy for verbs, mean
103	WRDHYPnv	HYPm	1.573	Hypernymy for nouns and verbs, mean
104	RDFRE	READFRE	45.490	Flesch Reading Ease
105	RDFKGL	READFKGL	14.993	Flesch-Kincaid Grade level
106	RDL2	L2	14.880	Coh-Metrix L2 Readability
