Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	19	Paragraph count, number of paragraphs
2	DESSC	READNS	24	Sentence count, number of sentences
3	DESWC	READNW	831	Word count, number of words
4	DESPL	READAPL	1.263	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	0.452	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	34.875	Sentence length, number of words, mean
7	DESSLd	n/a	24.75	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.708	Word length, number of syllables, mean
9	DESWLsyd	n/a	1.013	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	5.083	Word length, number of letters, mean
11	DESWLltd	n/a	2.801	Word length, number of letters, standard deviation
12	PCNARz	n/a	-0.732	Text Easability PC Narrativity, z score
13	PCNARp	n/a	23.270	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	-1.097	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	13.790	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	1.017	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	84.380	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-0.975	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	16.600	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	0.548	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	70.540	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	-0.390	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	34.830	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-2.509	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	0.600	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	-1.035	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	15.150	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.522	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.565	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.652	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.362	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.443	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.470	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.100	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.113	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.053	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.074	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0.261	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.065	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.130	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.158	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0.094	LSA overlap, adjacent paragraphs, mean
43	LSAPP1d	LSAppd	0.169	LSA overlap, adjacent paragraphs, standard deviation
44	LSAGN	LSAGN	0.169	LSA given/new, sentences, mean
45	LSAGNd	n/a	0.178	LSA given/new, sentences, standard deviation
46	LDTTRc	TYPTOKc	0.232	Lexical diversity, type-token ratio, content word lemmas
