Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	51	Paragraph count, number of paragraphs
2	DESSC	READNS	162	Sentence count, number of sentences
3	DESWC	READNW	2403	Word count, number of words
4	DESPL	READAPL	3.176	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	2.123	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	14.883	Sentence length, number of words, mean
7	DESSLd	n/a	10.068	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.552	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.874	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	4.667	Word length, number of letters, mean
11	DESWLltd	n/a	2.515	Word length, number of letters, standard deviation
12	PCNARz	n/a	0.204	Text Easability PC Narrativity, z score
13	PCNARp	n/a	57.930	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	0.583	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	71.900	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	-0.742	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	22.960	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-0.970	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	16.600	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	0.168	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	56.360	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	0.146	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	55.570	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-1.997	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	2.330	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	-1.306	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	9.680	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.230	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.410	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.261	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.092	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.229	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.120	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.107	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.151	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.048	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.094	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0.329	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.120	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.133	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.167	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0.118	LSA overlap, adjacent paragraphs, mean
43	LSAPP1d	LSAppd	0.161	LSA overlap, adjacent paragraphs, standard deviation
44	LSAGN	LSAGN	0.181	LSA given/new, sentences, mean
45	LSAGNd	n/a	0.142	LSA given/new, sentences, standard deviation
46	LDTTRc	TYPTOKc	0.285	Lexical diversity, type-token ratio, content word lemmas
47	LDTTRa	n/a	0.118	Lexical diversity, type-token ratio, all words
48	LDMTLD	LEXDIVTD	0.542	Lexical diversity, MTLD, all words
49	LDVOCD	LEXDIVVD	0.330	Lexical diversity, VOCD, all words
50	CNCAll	CONi	90.620	All connectives incidence
51	CNCCaus	CONCAUSi	134.992	Causal connectives incidence
52	CNCLogic	CONLOGi	77.819	Logical connectives incidence
53	CNCADC	CONADVCONi	25.385	Adversative and contrastive connectives incidence
54	CNCTemp	CONTEMPi	38.285	Temporal connectives incidence
55	CNCTempx	CONTEMPEXi	12.484	Expanded temporal connectives incidence
56	CNCAdd	CONADDi	12.901	Additive connectives incidence
57	CNCPos	n/a	21.640	Positive connectives incidence
58	CNCNeg	n/a	45.360	Negative connectives incidence
59	SMCAUSv	CAUSV	29.546	Causal verb incidence
60	SMCAUSvp	CAUSVP	38.702	Causal verbs and causal particles incidence
61	SMINTEp	INTEi	23.720	Intentional verbs incidence
62	SMCAUSr	CAUSC	0.306	Ratio of casual particles to causal verbs
63	SMINTEr	INTEC	0.879	Ratio of intentional particles to intentional verbs
64	SMCAUSlsa	CAUSLSA	0.084	LSA verb overlap
65	SMCAUSwn	CAUSWN	0.493	WordNet verb overlap
66	SMTEMP	TEMPta	0.720	Temporal cohesion, tense and aspect repetition, mean
67	SYNLE	SYNLE	3.173	Left embeddedness, words before main verb, mean
68	SYNNP	SYNNP	0.775	Number of modifiers per noun phrase, mean
69	SYNMEDpos	MEDwtm	0.691	Minimal Edit Distance, part of speech
70	SYNMEDwrd	MEDawm	0.881	Minimal Edit Distance, all words
71	SYNMEDlem	MEDalm	0.860	Minimal Edit Distance, lemmas
72	SYNSTRUTa	STRUTa	0.122	Sentence syntax similarity, adjacent sentences, mean
73	SYNSTRUTt	STRUTt	0.100	Sentence syntax similarity, all combinations, across paragraphs, mean
74	DRNP	n/a	356.221	Noun phrase density, incidence
75	DRVP	n/a	230.129	Verb phrase density, incidence
76	DRAP	n/a	47.025	Adverbial phrase density, incidence
77	DRPP	n/a	99.875	Preposition phrase density, incidence
78	DRPVAL	AGLSPSVi	2.913	Agentless passive voice density, incidence
79	DRNEG	DENNEGi	8.323	Negation density, incidence
80	DRGERUND	GERUNDi	27.050	Gerund density, incidence
81	DRINF	INFi	25.385	Infinitive density, incidence
82	WRDNOUN	NOUNi	232.626	Noun incidence
83	WRDVERB	VERBi	129.423	Verb incidence
84	WRDADJ	ADJi	79.068	Adjective incidence
85	WRDADV	ADVi	81.148	Adverb incidence
86	WRDPRO	DENPRPi	78.652	Pronoun incidence
87	WRDPRP1s	n/a	7.907	First person singular pronoun incidence
88	WRDPRP1p	n/a	30.795	First person plural pronoun incidence
89	WRDPRP2	PRO2i	6.658	Second person pronoun incidence
90	WRDPRP3s	n/a	1.248	Third person singular pronoun incidence
91	WRDPRP3p	n/a	16.230	Third person plural pronoun incidence
92	WRDFRQc	FRCLacwm	2.338	CELEX word frequency for content words, mean
93	WRDFRQa	FRCLaewm	3.044	CELEX Log frequency for all words, mean
94	WRDFRQmc	FRCLmcsm	1.238	CELEX Log minimum frequency for content words, mean
95	WRDAOAc	WRDAacwm	348.392	Age of acquisition for content words, mean
96	WRDFAMc	WRDFacwm	576.804	Familiarity for content words, mean
