Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	27	Paragraph count, number of paragraphs
2	DESSC	READNS	75	Sentence count, number of sentences
3	DESWC	READNW	1290	Word count, number of words
4	DESPL	READAPL	2.778	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	1.553	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	17.347	Sentence length, number of words, mean
7	DESSLd	n/a	11.576	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.490	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.890	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	4.619	Word length, number of letters, mean
11	DESWLltd	n/a	2.675	Word length, number of letters, standard deviation
12	PCNARz	n/a	0.195	Text Easability PC Narrativity, z score
13	PCNARp	n/a	57.530	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	0.002	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	50	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	-0.341	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	36.690	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-1.237	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	10.930	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	2.175	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	98.5	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	0.710	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	75.800	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-3.571	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	0	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	0.807	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	78.810	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.203	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.351	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.284	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.089	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.258	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.140	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.091	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.124	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.043	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.077	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0.257	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.165	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.146	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.177	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0.128	LSA overlap, adjacent paragraphs, mean
43	LSAPP1d	LSAppd	0.165	LSA overlap, adjacent paragraphs, standard deviation
44	LSAGN	LSAGN	0.149	LSA given/new, sentences, mean
45	LSAGNd	n/a	0.140	LSA given/new, sentences, standard deviation
46	LDTTRc	TYPTOKc	0.280	Lexical diversity, type-token ratio, content word lemmas
47	LDTTRa	n/a	0.110	Lexical diversity, type-token ratio, all words
48	LDMTLD	LEXDIVTD	0.608	Lexical diversity, MTLD, all words
49	LDVOCD	LEXDIVVD	0.377	Lexical diversity, VOCD, all words
50	CNCAll	CONi	88.359	All connectives incidence
51	CNCCaus	CONCAUSi	117.862	Causal connectives incidence
52	CNCLogic	CONLOGi	124.031	Logical connectives incidence
53	CNCADC	CONADVCONi	31.783	Adversative and contrastive connectives incidence
54	CNCTemp	CONTEMPi	51.163	Temporal connectives incidence
55	CNCTempx	CONTEMPEXi	15.504	Expanded temporal connectives incidence
56	CNCAdd	CONADDi	20.930	Additive connectives incidence
57	CNCPos	n/a	18.605	Positive connectives incidence
58	CNCNeg	n/a	69.767	Negative connectives incidence
59	SMCAUSv	CAUSV	24.031	Causal verb incidence
60	SMCAUSvp	CAUSVP	41.085	Causal verbs and causal particles incidence
61	SMINTEp	INTEi	5.426	Intentional verbs incidence
62	SMCAUSr	CAUSC	0.688	Ratio of casual particles to causal verbs
63	SMINTEr	INTEC	4.875	Ratio of intentional particles to intentional verbs
64	SMCAUSlsa	CAUSLSA	0.054	LSA verb overlap
65	SMCAUSwn	CAUSWN	0.470	WordNet verb overlap
66	SMTEMP	TEMPta	0.899	Temporal cohesion, tense and aspect repetition, mean
67	SYNLE	SYNLE	2.480	Left embeddedness, words before main verb, mean
68	SYNNP	SYNNP	0.749	Number of modifiers per noun phrase, mean
69	SYNMEDpos	MEDwtm	0.738	Minimal Edit Distance, part of speech
70	SYNMEDwrd	MEDawm	0.915	Minimal Edit Distance, all words
71	SYNMEDlem	MEDalm	0.893	Minimal Edit Distance, lemmas
72	SYNSTRUTa	STRUTa	0.078	Sentence syntax similarity, adjacent sentences, mean
73	SYNSTRUTt	STRUTt	0.049	Sentence syntax similarity, all combinations, across paragraphs, mean
74	DRNP	n/a	335.659	Noun phrase density, incidence
75	DRVP	n/a	241.085	Verb phrase density, incidence
76	DRAP	n/a	44.186	Adverbial phrase density, incidence
77	DRPP	n/a	88.372	Preposition phrase density, incidence
78	DRPVAL	AGLSPSVi	3.101	Agentless passive voice density, incidence
79	DRNEG	DENNEGi	0.775	Negation density, incidence
80	DRGERUND	GERUNDi	24.806	Gerund density, incidence
81	DRINF	INFi	28.682	Infinitive density, incidence
82	WRDNOUN	NOUNi	238.760	Noun incidence
83	WRDVERB	VERBi	129.457	Verb incidence
84	WRDADJ	ADJi	68.217	Adjective incidence
85	WRDADV	ADVi	66.667	Adverb incidence
86	WRDPRO	DENPRPi	68.217	Pronoun incidence
87	WRDPRP1s	n/a	17.054	First person singular pronoun incidence
88	WRDPRP1p	n/a	17.054	First person plural pronoun incidence
89	WRDPRP2	PRO2i	18.605	Second person pronoun incidence
90	WRDPRP3s	n/a	0.775	Third person singular pronoun incidence
91	WRDPRP3p	n/a	6.977	Third person plural pronoun incidence
92	WRDFRQc	FRCLacwm	2.357	CELEX word frequency for content words, mean
93	WRDFRQa	FRCLaewm	3.059	CELEX Log frequency for all words, mean
94	WRDFRQmc	FRCLmcsm	1.634	CELEX Log minimum frequency for content words, mean
95	WRDAOAc	WRDAacwm	352.517	Age of acquisition for content words, mean
96	WRDFAMc	WRDFacwm	576.144	Familiarity for content words, mean
97	WRDCNCc	WRDCacwm	355.925	Concreteness for content words, mean
98	WRDIMGc	WRDIacwm	388.870	Imagability for content words, mean
99	WRDMEAc	WRDMacwm	424.834	Meaningfulness, Colorado norms, content words, mean
100	WRDPOLc	POLm	4.357	Polysemy for content words, mean
101	WRDHYPn	HYNOUNaw	5.943	Hypernymy for nouns, mean
102	WRDHYPv	HYVERBaw	1.597	Hypernymy for verbs, mean
103	WRDHYPnv	HYPm	1.541	Hypernymy for nouns and verbs, mean
104	RDFRE	READFRE	63.323	Flesch Reading Ease
105	RDFKGL	READFKGL	8.700	Flesch-Kincaid Grade level
106	RDL2	L2	16.846	Coh-Metrix L2 Readability
