Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	53	Paragraph count, number of paragraphs
2	DESSC	READNS	107	Sentence count, number of sentences
3	DESWC	READNW	2629	Word count, number of words
4	DESPL	READAPL	2.019	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	0.888	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	24.636	Sentence length, number of words, mean
7	DESSLd	n/a	14.785	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.539	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.899	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	4.577	Word length, number of letters, mean
11	DESWLltd	n/a	2.460	Word length, number of letters, standard deviation
12	PCNARz	n/a	0.210	Text Easability PC Narrativity, z score
13	PCNARp	n/a	57.930	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	-0.164	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	43.640	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	-0.193	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	42.470	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-0.257	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	40.130	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	0.900	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	81.590	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	0.213	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	58.320	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-2.941	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	0.160	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	-1.118	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	13.350	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.340	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.566	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.415	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.246	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.479	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.290	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.090	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.099	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.067	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.084	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0.453	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.267	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.126	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.138	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0.123	LSA overlap, adjacent paragraphs, mean
43	LSAPP1d	LSAppd	0.118	LSA overlap, adjacent paragraphs, standard deviation
44	LSAGN	LSAGN	0.212	LSA given/new, sentences, mean
45	LSAGNd	n/a	0.138	LSA given/new, sentences, standard deviation
46	LDTTRc	TYPTOKc	0.297	Lexical diversity, type-token ratio, content word lemmas
47	LDTTRa	n/a	0.099	Lexical diversity, type-token ratio, all words
48	LDMTLD	LEXDIVTD	0.469	Lexical diversity, MTLD, all words
49	LDVOCD	LEXDIVVD	0.264	Lexical diversity, VOCD, all words
50	CNCAll	CONi	81.288	All connectives incidence
51	CNCCaus	CONCAUSi	89.765	Causal connectives incidence
52	CNCLogic	CONLOGi	105.363	Logical connectives incidence
53	CNCADC	CONADVCONi	34.234	Adversative and contrastive connectives incidence
54	CNCTemp	CONTEMPi	39.939	Temporal connectives incidence
