Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	40	Paragraph count, number of paragraphs
2	DESSC	READNS	77	Sentence count, number of sentences
3	DESWC	READNW	1813	Word count, number of words
4	DESPL	READAPL	1.925	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	1.228	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	23.662	Sentence length, number of words, mean
7	DESSLd	n/a	16.994	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.684	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.989	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	5.060	Word length, number of letters, mean
11	DESWLltd	n/a	2.800	Word length, number of letters, standard deviation
12	PCNARz	n/a	-0.816	Text Easability PC Narrativity, z score
13	PCNARp	n/a	20.900	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	-0.370	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	35.570	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	0.454	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	67.360	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-0.979	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	16.350	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	-0.321	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	37.450	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	-0.152	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	44.040	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-1.626	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	5.260	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	-2.068	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	1.970	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.395	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.434	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.447	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.241	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.373	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.366	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.064	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.088	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.039	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.072	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0.237	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.062	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.169	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.161	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0.154	LSA overlap, adjacent paragraphs, mean
43	LSAPP1d	LSAppd	0.178	LSA overlap, adjacent paragraphs, standard deviation
44	LSAGN	LSAGN	0.251	LSA given/new, sentences, mean
45	LSAGNd	n/a	0.192	LSA given/new, sentences, standard deviation
46	LDTTRc	TYPTOKc	0.300	Lexical diversity, type-token ratio, content word lemmas
47	LDTTRa	n/a	0.137	Lexical diversity, type-token ratio, all words
48	LDMTLD	LEXDIVTD	0.656	Lexical diversity, MTLD, all words
49	LDVOCD	LEXDIVVD	0.401	Lexical diversity, VOCD, all words
50	CNCAll	CONi	102.968	All connectives incidence
51	CNCCaus	CONCAUSi	101.783	Causal connectives incidence
52	CNCLogic	CONLOGi	80.530	Logical connectives incidence
53	CNCADC	CONADVCONi	18.753	Adversative and contrastive connectives incidence
54	CNCTemp	CONTEMPi	24.269	Temporal connectives incidence
55	CNCTempx	CONTEMPEXi	6.619	Expanded temporal connectives incidence
56	CNCAdd	CONADDi	19.305	Additive connectives incidence
57	CNCPos	n/a	23.718	Positive connectives incidence
58	CNCNeg	n/a	48.538	Negative connectives incidence
59	SMCAUSv	CAUSV	18.202	Causal verb incidence
60	SMCAUSvp	CAUSVP	24.269	Causal verbs and causal particles incidence
61	SMINTEp	INTEi	14.341	Intentional verbs incidence
62	SMCAUSr	CAUSC	0.324	Ratio of casual particles to causal verbs
63	SMINTEr	INTEC	0.963	Ratio of intentional particles to intentional verbs
