Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	16	Paragraph count, number of paragraphs
2	DESSC	READNS	19	Sentence count, number of sentences
3	DESWC	READNW	543	Word count, number of words
4	DESPL	READAPL	1.188	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	0.403	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	28.789	Sentence length, number of words, mean
7	DESSLd	n/a	19.823	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.689	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.965	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	5.204	Word length, number of letters, mean
11	DESWLltd	n/a	2.75	Word length, number of letters, standard deviation
12	PCNARz	n/a	-0.648	Text Easability PC Narrativity, z score
13	PCNARp	n/a	26.110	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	-1.169	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	12.100	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	1.327	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	90.660	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-1.237	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	10.930	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	0.077	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	52.790	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	-0.714	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	23.890	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-1.788	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	3.75	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	-2.615	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	0.450	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.611	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.667	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.722	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.237	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.378	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.370	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.081	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.074	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.031	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.051	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0.167	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.089	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.157	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.151	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0.187	LSA overlap, adjacent paragraphs, mean
43	LSAPP1d	LSAppd	0.144	LSA overlap, adjacent paragraphs, standard deviation
44	LSAGN	LSAGN	0.163	LSA given/new, sentences, mean
45	LSAGNd	n/a	0.169	LSA given/new, sentences, standard deviation
46	LDTTRc	TYPTOKc	0.217	Lexical diversity, type-token ratio, content word lemmas
47	LDTTRa	n/a	0.139	Lexical diversity, type-token ratio, all words
48	LDMTLD	LEXDIVTD	0.819	Lexical diversity, MTLD, all words
49	LDVOCD	LEXDIVVD	0.574	Lexical diversity, VOCD, all words
50	CNCAll	CONi	133.745	All connectives incidence
51	CNCCaus	CONCAUSi	115.866	Causal connectives incidence
52	CNCLogic	CONLOGi	88.398	Logical connectives incidence
53	CNCADC	CONADVCONi	25.783	Adversative and contrastive connectives incidence
54	CNCTemp	CONTEMPi	25.783	Temporal connectives incidence
55	CNCTempx	CONTEMPEXi	0	Expanded temporal connectives incidence
56	CNCAdd	CONADDi	9.208	Additive connectives incidence
57	CNCPos	n/a	34.991	Positive connectives incidence
58	CNCNeg	n/a	55.249	Negative connectives incidence
59	SMCAUSv	CAUSV	14.733	Causal verb incidence
60	SMCAUSvp	CAUSVP	22.099	Causal verbs and causal particles incidence
61	SMINTEp	INTEi	11.050	Intentional verbs incidence
62	SMCAUSr	CAUSC	0.444	Ratio of casual particles to causal verbs
63	SMINTEr	INTEC	1.857	Ratio of intentional particles to intentional verbs
64	SMCAUSlsa	CAUSLSA	0.031	LSA verb overlap
65	SMCAUSwn	CAUSWN	0.489	WordNet verb overlap
66	SMTEMP	TEMPta	0.611	Temporal cohesion, tense and aspect repetition, mean
67	SYNLE	SYNLE	4.211	Left embeddedness, words before main verb, mean
68	SYNNP	SYNNP	1.086	Number of modifiers per noun phrase, mean
69	SYNMEDpos	MEDwtm	0.756	Minimal Edit Distance, part of speech
70	SYNMEDwrd	MEDawm	0.921	Minimal Edit Distance, all words
71	SYNMEDlem	MEDalm	0.921	Minimal Edit Distance, lemmas
72	SYNSTRUTa	STRUTa	0.119	Sentence syntax similarity, adjacent sentences, mean
73	SYNSTRUTt	STRUTt	0.050	Sentence syntax similarity, all combinations, across paragraphs, mean
74	DRNP	n/a	377.532	Noun phrase density, incidence
75	DRVP	n/a	211.786	Verb phrase density, incidence
76	DRAP	n/a	25.783	Adverbial phrase density, incidence
77	DRPP	n/a	101.289	Preposition phrase density, incidence
78	DRPVAL	AGLSPSVi	1.842	Agentless passive voice density, incidence
79	DRNEG	DENNEGi	3.683	Negation density, incidence
80	DRGERUND	GERUNDi	33.149	Gerund density, incidence
81	DRINF	INFi	25.783	Infinitive density, incidence
82	WRDNOUN	NOUNi	344.383	Noun incidence
83	WRDVERB	VERBi	128.913	Verb incidence
84	WRDADJ	ADJi	75.507	Adjective incidence
85	WRDADV	ADVi	33.149	Adverb incidence
86	WRDPRO	DENPRPi	49.724	Pronoun incidence
87	WRDPRP1s	n/a	7.366	First person singular pronoun incidence
88	WRDPRP1p	n/a	18.416	First person plural pronoun incidence
