Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	54	Paragraph count, number of paragraphs
2	DESSC	READNS	65	Sentence count, number of sentences
3	DESWC	READNW	2575	Word count, number of words
4	DESPL	READAPL	1.204	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	0.451	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	39.738	Sentence length, number of words, mean
7	DESSLd	n/a	27.059	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.568	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.924	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	4.717	Word length, number of letters, mean
11	DESWLltd	n/a	2.554	Word length, number of letters, standard deviation
12	PCNARz	n/a	0.293	Text Easability PC Narrativity, z score
13	PCNARp	n/a	61.410	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	-1.482	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	6.940	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	-0.007	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	50	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	0.176	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	56.75	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	0.813	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	79.100	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	0.310	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	62.170	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-2.536	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	0.570	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	-0.629	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	26.430	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.547	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.656	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.641	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.393	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.545	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.491	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.124	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.118	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.078	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.089	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0.469	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.245	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.215	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.192	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0.177	LSA overlap, adjacent paragraphs, mean
