Number	Label	Label V2.x	Text	Full description
95	WRDAOAc	WRDAacwm	364.909	Age of acquisition for content words, mean
96	WRDFAMc	WRDFacwm	561.756	Familiarity for content words, mean
97	WRDCNCc	WRDCacwm	342.282	Concreteness for content words, mean
98	WRDIMGc	WRDIacwm	373.268	Imagability for content words, mean
99	WRDMEAc	WRDMacwm	400.219	Meaningfulness, Colorado norms, content words, mean
100	WRDPOLc	POLm	3.516	Polysemy for content words, mean
101	WRDHYPn	HYNOUNaw	5.334	Hypernymy for nouns, mean
102	WRDHYPv	HYVERBaw	1.589	Hypernymy for verbs, mean
103	WRDHYPnv	HYPm	1.585	Hypernymy for nouns and verbs, mean
104	RDFRE	READFRE	59.268	Flesch Reading Ease
105	RDFKGL	READFKGL	9.078	Flesch-Kincaid Grade level
106	RDL2	L2	14.273	Coh-Metrix L2 Readability
