Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	13	Paragraph count, number of paragraphs
2	DESSC	READNS	28	Sentence count, number of sentences
3	DESWC	READNW	287	Word count, number of words
4	DESPL	READAPL	2.154	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	1.725	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	10.5	Sentence length, number of words, mean
7	DESSLd	n/a	8.466	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.631	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.921	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	5.094	Word length, number of letters, mean
11	DESWLltd	n/a	2.657	Word length, number of letters, standard deviation
12	PCNARz	n/a	-1.127	Text Easability PC Narrativity, z score
13	PCNARp	n/a	13.140	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	1.415	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	92.070	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	0.446	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	67	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-2.455	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	0.710	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	-0.869	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	19.220	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	-0.977	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	16.600	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-2.762	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	0.290	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	-1.546	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	6.180	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.111	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.148	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.148	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.093	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.111	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.124	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.037	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.077	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.019	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.060	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0.074	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.009	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.083	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.112	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0.104	LSA overlap, adjacent paragraphs, mean
43	LSAPP1d	LSAppd	0.131	LSA overlap, adjacent paragraphs, standard deviation
44	LSAGN	LSAGN	0.109	LSA given/new, sentences, mean
45	LSAGNd	n/a	0.131	LSA given/new, sentences, standard deviation
46	LDTTRc	TYPTOKc	0.200	Lexical diversity, type-token ratio, content word lemmas
47	LDTTRa	n/a	0.133	Lexical diversity, type-token ratio, all words
48	LDMTLD	LEXDIVTD	0.787	Lexical diversity, MTLD, all words
49	LDVOCD	LEXDIVVD	0.633	Lexical diversity, VOCD, all words
50	CNCAll	CONi	149.383	All connectives incidence
51	CNCCaus	CONCAUSi	137.354	Causal connectives incidence
52	CNCLogic	CONLOGi	76.655	Logical connectives incidence
53	CNCADC	CONADVCONi	3.484	Adversative and contrastive connectives incidence
54	CNCTemp	CONTEMPi	17.422	Temporal connectives incidence
55	CNCTempx	CONTEMPEXi	3.484	Expanded temporal connectives incidence
56	CNCAdd	CONADDi	17.422	Additive connectives incidence
57	CNCPos	n/a	24.390	Positive connectives incidence
58	CNCNeg	n/a	59.233	Negative connectives incidence
59	SMCAUSv	CAUSV	52.265	Causal verb incidence
