Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	35	Paragraph count, number of paragraphs
2	DESSC	READNS	48	Sentence count, number of sentences
3	DESWC	READNW	1653	Word count, number of words
4	DESPL	READAPL	1.371	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	0.646	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	34.667	Sentence length, number of words, mean
7	DESSLd	n/a	21.550	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.754	Word length, number of syllables, mean
9	DESWLsyd	n/a	1.073	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	5.155	Word length, number of letters, mean
11	DESWLltd	n/a	2.980	Word length, number of letters, standard deviation
12	PCNARz	n/a	-0.628	Text Easability PC Narrativity, z score
13	PCNARp	n/a	26.760	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	-1.234	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	10.930	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	-0.354	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	36.320	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-0.134	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	44.830	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	-0.792	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	21.480	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	-0.317	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	37.830	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-1.153	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	12.510	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	-0.491	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	31.210	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.574	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.660	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.638	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.471	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.541	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.555	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.115	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.133	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.070	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.087	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0.255	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.080	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.231	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.198	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0.202	LSA overlap, adjacent paragraphs, mean
43	LSAPP1d	LSAppd	0.193	LSA overlap, adjacent paragraphs, standard deviation
44	LSAGN	LSAGN	0.287	LSA given/new, sentences, mean
45	LSAGNd	n/a	0.206	LSA given/new, sentences, standard deviation
46	LDTTRc	TYPTOKc	0.319	Lexical diversity, type-token ratio, content word lemmas
47	LDTTRa	n/a	0.153	Lexical diversity, type-token ratio, all words
48	LDMTLD	LEXDIVTD	0.592	Lexical diversity, MTLD, all words
49	LDVOCD	LEXDIVVD	0.371	Lexical diversity, VOCD, all words
50	CNCAll	CONi	81.674	All connectives incidence
51	CNCCaus	CONCAUSi	103.124	Causal connectives incidence
52	CNCLogic	CONLOGi	68.966	Logical connectives incidence
53	CNCADC	CONADVCONi	16.939	Adversative and contrastive connectives incidence
54	CNCTemp	CONTEMPi	19.964	Temporal connectives incidence
55	CNCTempx	CONTEMPEXi	10.889	Expanded temporal connectives incidence
56	CNCAdd	CONADDi	12.704	Additive connectives incidence
57	CNCPos	n/a	18.754	Positive connectives incidence
58	CNCNeg	n/a	40.532	Negative connectives incidence
59	SMCAUSv	CAUSV	12.704	Causal verb incidence
60	SMCAUSvp	CAUSVP	18.754	Causal verbs and causal particles incidence
61	SMINTEp	INTEi	12.099	Intentional verbs incidence
62	SMCAUSr	CAUSC	0.455	Ratio of casual particles to causal verbs
63	SMINTEr	INTEC	1.095	Ratio of intentional particles to intentional verbs
64	SMCAUSlsa	CAUSLSA	0.097	LSA verb overlap
65	SMCAUSwn	CAUSWN	0.457	WordNet verb overlap
66	SMTEMP	TEMPta	0.830	Temporal cohesion, tense and aspect repetition, mean
67	SYNLE	SYNLE	7.938	Left embeddedness, words before main verb, mean
68	SYNNP	SYNNP	1.154	Number of modifiers per noun phrase, mean
69	SYNMEDpos	MEDwtm	0.725	Minimal Edit Distance, part of speech
70	SYNMEDwrd	MEDawm	0.893	Minimal Edit Distance, all words
71	SYNMEDlem	MEDalm	0.879	Minimal Edit Distance, lemmas
72	SYNSTRUTa	STRUTa	0.084	Sentence syntax similarity, adjacent sentences, mean
73	SYNSTRUTt	STRUTt	0.042	Sentence syntax similarity, all combinations, across paragraphs, mean
74	DRNP	n/a	381.730	Noun phrase density, incidence
75	DRVP	n/a	174.229	Verb phrase density, incidence
76	DRAP	n/a	14.519	Adverbial phrase density, incidence
77	DRPP	n/a	134.301	Preposition phrase density, incidence
78	DRPVAL	AGLSPSVi	7.260	Agentless passive voice density, incidence
79	DRNEG	DENNEGi	2.420	Negation density, incidence
80	DRGERUND	GERUNDi	16.939	Gerund density, incidence
81	DRINF	INFi	19.964	Infinitive density, incidence
82	WRDNOUN	NOUNi	317.605	Noun incidence
83	WRDVERB	VERBi	107.078	Verb incidence
84	WRDADJ	ADJi	74.411	Adjective incidence
85	WRDADV	ADVi	24.198	Adverb incidence
86	WRDPRO	DENPRPi	39.927	Pronoun incidence
87	WRDPRP1s	n/a	12.704	First person singular pronoun incidence
88	WRDPRP1p	n/a	9.074	First person plural pronoun incidence
89	WRDPRP2	PRO2i	2.420	Second person pronoun incidence
90	WRDPRP3s	n/a	4.235	Third person singular pronoun incidence
91	WRDPRP3p	n/a	9.074	Third person plural pronoun incidence
92	WRDFRQc	FRCLacwm	2.038	CELEX word frequency for content words, mean
93	WRDFRQa	FRCLaewm	2.940	CELEX Log frequency for all words, mean
