Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	21	Paragraph count, number of paragraphs
2	DESSC	READNS	46	Sentence count, number of sentences
3	DESWC	READNW	910	Word count, number of words
4	DESPL	READAPL	2.190	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	1.569	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	20.109	Sentence length, number of words, mean
7	DESSLd	n/a	16.459	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.578	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.910	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	4.788	Word length, number of letters, mean
11	DESWLltd	n/a	2.623	Word length, number of letters, standard deviation
12	PCNARz	n/a	-0.167	Text Easability PC Narrativity, z score
13	PCNARp	n/a	43.640	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	-0.651	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	25.780	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	-0.330	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	37.070	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-1.148	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	12.710	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	1.737	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	95.820	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	0.535	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	70.190	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-1.784	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	3.75	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	0.686	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	75.170	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.244	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.356	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.400	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.165	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.289	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.259	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.077	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.126	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.045	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.075	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0.289	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.077	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.118	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.171	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0.108	LSA overlap, adjacent paragraphs, mean
43	LSAPP1d	LSAppd	0.166	LSA overlap, adjacent paragraphs, standard deviation
44	LSAGN	LSAGN	0.177	LSA given/new, sentences, mean
45	LSAGNd	n/a	0.180	LSA given/new, sentences, standard deviation
46	LDTTRc	TYPTOKc	0.271	Lexical diversity, type-token ratio, content word lemmas
47	LDTTRa	n/a	0.126	Lexical diversity, type-token ratio, all words
48	LDMTLD	LEXDIVTD	0.623	Lexical diversity, MTLD, all words
49	LDVOCD	LEXDIVVD	0.415	Lexical diversity, VOCD, all words
50	CNCAll	CONi	77.739	All connectives incidence
51	CNCCaus	CONCAUSi	123.314	Causal connectives incidence
52	CNCLogic	CONLOGi	94.506	Logical connectives incidence
53	CNCADC	CONADVCONi	34.066	Adversative and contrastive connectives incidence
54	CNCTemp	CONTEMPi	49.451	Temporal connectives incidence
55	CNCTempx	CONTEMPEXi	13.187	Expanded temporal connectives incidence
56	CNCAdd	CONADDi	16.484	Additive connectives incidence
57	CNCPos	n/a	20.879	Positive connectives incidence
58	CNCNeg	n/a	45.055	Negative connectives incidence
59	SMCAUSv	CAUSV	13.187	Causal verb incidence
60	SMCAUSvp	CAUSVP	35.165	Causal verbs and causal particles incidence
61	SMINTEp	INTEi	10.989	Intentional verbs incidence
62	SMCAUSr	CAUSC	1.538	Ratio of casual particles to causal verbs
63	SMINTEr	INTEC	2.273	Ratio of intentional particles to intentional verbs
64	SMCAUSlsa	CAUSLSA	0.049	LSA verb overlap
65	SMCAUSwn	CAUSWN	0.448	WordNet verb overlap
66	SMTEMP	TEMPta	0.889	Temporal cohesion, tense and aspect repetition, mean
67	SYNLE	SYNLE	3.630	Left embeddedness, words before main verb, mean
68	SYNNP	SYNNP	0.967	Number of modifiers per noun phrase, mean
69	SYNMEDpos	MEDwtm	0.673	Minimal Edit Distance, part of speech
70	SYNMEDwrd	MEDawm	0.883	Minimal Edit Distance, all words
71	SYNMEDlem	MEDalm	0.870	Minimal Edit Distance, lemmas
72	SYNSTRUTa	STRUTa	0.082	Sentence syntax similarity, adjacent sentences, mean
73	SYNSTRUTt	STRUTt	0.046	Sentence syntax similarity, all combinations, across paragraphs, mean
74	DRNP	n/a	347.253	Noun phrase density, incidence
75	DRVP	n/a	192.308	Verb phrase density, incidence
76	DRAP	n/a	35.165	Adverbial phrase density, incidence
77	DRPP	n/a	105.495	Preposition phrase density, incidence
78	DRPVAL	AGLSPSVi	1.099	Agentless passive voice density, incidence
79	DRNEG	DENNEGi	1.099	Negation density, incidence
80	DRGERUND	GERUNDi	15.385	Gerund density, incidence
81	DRINF	INFi	14.286	Infinitive density, incidence
82	WRDNOUN	NOUNi	272.527	Noun incidence
83	WRDVERB	VERBi	112.089	Verb incidence
84	WRDADJ	ADJi	100.001	Adjective incidence
85	WRDADV	ADVi	59.341	Adverb incidence
86	WRDPRO	DENPRPi	56.044	Pronoun incidence
87	WRDPRP1s	n/a	3.297	First person singular pronoun incidence
88	WRDPRP1p	n/a	7.692	First person plural pronoun incidence
89	WRDPRP2	PRO2i	8.791	Second person pronoun incidence
90	WRDPRP3s	n/a	1.099	Third person singular pronoun incidence
91	WRDPRP3p	n/a	16.484	Third person plural pronoun incidence
92	WRDFRQc	FRCLacwm	2.251	CELEX word frequency for content words, mean
93	WRDFRQa	FRCLaewm	2.993	CELEX Log frequency for all words, mean
94	WRDFRQmc	FRCLmcsm	1.111	CELEX Log minimum frequency for content words, mean
95	WRDAOAc	WRDAacwm	347.059	Age of acquisition for content words, mean
96	WRDFAMc	WRDFacwm	580.911	Familiarity for content words, mean
97	WRDCNCc	WRDCacwm	369.767	Concreteness for content words, mean
98	WRDIMGc	WRDIacwm	397.279	Imagability for content words, mean
99	WRDMEAc	WRDMacwm	425.853	Meaningfulness, Colorado norms, content words, mean
100	WRDPOLc	POLm	3.944	Polysemy for content words, mean
101	WRDHYPn	HYNOUNaw	6.344	Hypernymy for nouns, mean
102	WRDHYPv	HYVERBaw	1.655	Hypernymy for verbs, mean
103	WRDHYPnv	HYPm	1.801	Hypernymy for nouns and verbs, mean
104	RDFRE	READFRE	53.256	Flesch Reading Ease
105	RDFKGL	READFKGL	10.746	Flesch-Kincaid Grade level
106	RDL2	L2	13.991	Coh-Metrix L2 Readability
