Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	15	Paragraph count, number of paragraphs
2	DESSC	READNS	21	Sentence count, number of sentences
3	DESWC	READNW	564	Word count, number of words
4	DESPL	READAPL	1.400	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	0.632	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	27.143	Sentence length, number of words, mean
7	DESSLd	n/a	21.534	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.534	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.920	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	4.520	Word length, number of letters, mean
11	DESWLltd	n/a	2.541	Word length, number of letters, standard deviation
12	PCNARz	n/a	0.430	Text Easability PC Narrativity, z score
13	PCNARp	n/a	66.280	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	-1.570	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	5.820	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	-0.528	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	30.150	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-0.129	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	44.830	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	-0.009	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	50	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	0.192	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	57.530	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-1.457	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	7.350	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	0.713	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	76.110	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.550	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.700	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.650	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.277	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.394	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.400	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.140	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.124	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.070	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.104	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0.5	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.135	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.222	LSA overlap, all sentences in paragraph, mean
