2.844,-0.24421
3.769,0.47101
6.62,0.75066
4.583,-0.59666
2.091,-0.96597
2.768,0.20666
2.262,0.82677
6.075,0.30247
3.471,0.87935
5.491,0.23777
3.314,0.51288
3.441,-0.61028
4.077,-0.32171
1.778,-0.18995
3.253,-0.0058286
3.22,0.60329
4.286,0.14181
3.098,0.29771
2.568,0.0046938
3.213,0.1922
4.617,0.68678
8.36,0.29201
7.038,0.63188
4.733,-0.34132
5.781,0.046755
6.209,0.79353
5.787,0.61852
7.554,0.39599
6.529,-0.33704
3.789,-0.11388
5.055,0.80365
4.077,0.35739
9.923,0.20637
8.571,0.89729
7.126,0.32514
6.308,0.91257
6.621,0.46942
5.25,-0.0886
3.617,0.82561
6.382,0.51456
6.059,-0.99061
7,0.10638
6.214,-0.96907
6.789,0.732
8.444,0.71179
5,0.80011
5.455,0.99831
7.2,0.67838
5.444,0.34591
6.87,-0.23528
3.857,0.03888
3.97,-0.01656
6.182,0.49683
6.667,0.22586
6.667,0.22586
6.294,0.52522
7.253,0.57212
5.022,-0.16377
8.553,0.51897
6.917,0.98591
5.045,0.8009
6.315,0.68046
9.643,0.5855
5.045,0.54978
10.148,0.37589
6.391,0.37507
3.417,0.77201
6.124,0.051226
