Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	7	Paragraph count, number of paragraphs
2	DESSC	READNS	22	Sentence count, number of sentences
3	DESWC	READNW	225	Word count, number of words
4	DESPL	READAPL	3.143	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	2.734	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	10.318	Sentence length, number of words, mean
7	DESSLd	n/a	7.428	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.680	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.947	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	5.133	Word length, number of letters, mean
11	DESWLltd	n/a	2.765	Word length, number of letters, standard deviation
12	PCNARz	n/a	-0.540	Text Easability PC Narrativity, z score
13	PCNARp	n/a	29.460	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	0.745	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	77.040	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	0.389	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	64.800	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-1.891	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	2.940	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	0.364	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	64.060	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	-1.368	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	8.690	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-1.753	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	4.010	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	-0.378	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	35.570	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.238	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.238	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.238	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.188	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.224	Argument overlap, all sentences, binary, mean
