Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	14	Paragraph count, number of paragraphs
2	DESSC	READNS	37	Sentence count, number of sentences
3	DESWC	READNW	649	Word count, number of words
4	DESPL	READAPL	2.643	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	1.946	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	17.568	Sentence length, number of words, mean
7	DESSLd	n/a	13.791	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.510	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.845	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	4.607	Word length, number of letters, mean
11	DESWLltd	n/a	2.457	Word length, number of letters, standard deviation
12	PCNARz	n/a	0.053	Text Easability PC Narrativity, z score
13	PCNARp	n/a	51.990	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	0.014	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	50.400	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	-0.232	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	40.900	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-1.404	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	8.080	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	0.915	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	81.860	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	1.307	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	90.320	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-2.683	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	0.370	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	-0.568	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	28.770	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.194	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.25	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.194	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.105	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.238	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.143	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.049	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.120	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.040	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.082	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0.222	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.149	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.106	LSA overlap, all sentences in paragraph, mean
