Number	Label	Label V2.x	Text	Full description
95	WRDAOAc	WRDAacwm	365.922	Age of acquisition for content words, mean
96	WRDFAMc	WRDFacwm	578.523	Familiarity for content words, mean
97	WRDCNCc	WRDCacwm	348.261	Concreteness for content words, mean
98	WRDIMGc	WRDIacwm	380.531	Imagability for content words, mean
99	WRDMEAc	WRDMacwm	420.415	Meaningfulness, Colorado norms, content words, mean
100	WRDPOLc	POLm	4.233	Polysemy for content words, mean
101	WRDHYPn	HYNOUNaw	6.027	Hypernymy for nouns, mean
102	WRDHYPv	HYVERBaw	1.584	Hypernymy for verbs, mean
103	WRDHYPnv	HYPm	1.575	Hypernymy for nouns and verbs, mean
104	RDFRE	READFRE	66.040	Flesch Reading Ease
105	RDFKGL	READFKGL	7.366	Flesch-Kincaid Grade level
106	RDL2	L2	20.143	Coh-Metrix L2 Readability
