Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	51	Paragraph count, number of paragraphs
2	DESSC	READNS	83	Sentence count, number of sentences
3	DESWC	READNW	2651	Word count, number of words
4	DESPL	READAPL	1.627	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	1.371	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	32.048	Sentence length, number of words, mean
7	DESSLd	n/a	28.569	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.498	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.847	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	4.519	Word length, number of letters, mean
11	DESWLltd	n/a	2.437	Word length, number of letters, standard deviation
12	PCNARz	n/a	0.614	Text Easability PC Narrativity, z score
13	PCNARp	n/a	72.910	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	-1.136	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	12.920	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	-0.308	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	38.210	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-0.564	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	28.770	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	0.588	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	71.900	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	1.007	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	84.130	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-2.635	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	0.430	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	-0.705	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	24.200	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.244	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.610	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.305	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.125	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.428	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.194	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.092	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.110	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.055	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.080	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0.5	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.219	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.134	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.144	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0.086	LSA overlap, adjacent paragraphs, mean
43	LSAPP1d	LSAppd	0.148	LSA overlap, adjacent paragraphs, standard deviation
44	LSAGN	LSAGN	0.154	LSA given/new, sentences, mean
45	LSAGNd	n/a	0.153	LSA given/new, sentences, standard deviation
46	LDTTRc	TYPTOKc	0.288	Lexical diversity, type-token ratio, content word lemmas
47	LDTTRa	n/a	0.117	Lexical diversity, type-token ratio, all words
48	LDMTLD	LEXDIVTD	0.582	Lexical diversity, MTLD, all words
49	LDVOCD	LEXDIVVD	0.312	Lexical diversity, VOCD, all words
50	CNCAll	CONi	76.550	All connectives incidence
51	CNCCaus	CONCAUSi	121.090	Causal connectives incidence
52	CNCLogic	CONLOGi	98.453	Logical connectives incidence
53	CNCADC	CONADVCONi	19.238	Adversative and contrastive connectives incidence
54	CNCTemp	CONTEMPi	33.572	Temporal connectives incidence
55	CNCTempx	CONTEMPEXi	7.922	Expanded temporal connectives incidence
56	CNCAdd	CONADDi	18.861	Additive connectives incidence
57	CNCPos	n/a	19.992	Positive connectives incidence
58	CNCNeg	n/a	61.863	Negative connectives incidence
59	SMCAUSv	CAUSV	8.676	Causal verb incidence
60	SMCAUSvp	CAUSVP	18.861	Causal verbs and causal particles incidence
61	SMINTEp	INTEi	7.544	Intentional verbs incidence
62	SMCAUSr	CAUSC	1.125	Ratio of casual particles to causal verbs
63	SMINTEr	INTEC	2.143	Ratio of intentional particles to intentional verbs
64	SMCAUSlsa	CAUSLSA	0.078	LSA verb overlap
65	SMCAUSwn	CAUSWN	0.485	WordNet verb overlap
66	SMTEMP	TEMPta	0.774	Temporal cohesion, tense and aspect repetition, mean
67	SYNLE	SYNLE	5.265	Left embeddedness, words before main verb, mean
68	SYNNP	SYNNP	0.806	Number of modifiers per noun phrase, mean
69	SYNMEDpos	MEDwtm	0.721	Minimal Edit Distance, part of speech
70	SYNMEDwrd	MEDawm	0.907	Minimal Edit Distance, all words
71	SYNMEDlem	MEDalm	0.892	Minimal Edit Distance, lemmas
72	SYNSTRUTa	STRUTa	0.063	Sentence syntax similarity, adjacent sentences, mean
