Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	142	Paragraph count, number of paragraphs
2	DESSC	READNS	178	Sentence count, number of sentences
3	DESWC	READNW	7212	Word count, number of words
4	DESPL	READAPL	1.254	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	0.511	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	40.551	Sentence length, number of words, mean
7	DESSLd	n/a	27.181	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.555	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.926	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	4.679	Word length, number of letters, mean
11	DESWLltd	n/a	2.611	Word length, number of letters, standard deviation
12	PCNARz	n/a	0.283	Text Easability PC Narrativity, z score
13	PCNARp	n/a	61.030	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	-1.497	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	6.810	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	-0.398	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	34.830	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	0.111	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	54.380	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	1.023	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	84.610	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	0.485	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	68.440	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-2.214	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	1.360	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	-0.413	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	34.090	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.508	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.684	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.599	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.321	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.554	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.442	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.122	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.141	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.072	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.088	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0.514	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.268	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.218	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.191	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0.161	LSA overlap, adjacent paragraphs, mean
43	LSAPP1d	LSAppd	0.164	LSA overlap, adjacent paragraphs, standard deviation
44	LSAGN	LSAGN	0.243	LSA given/new, sentences, mean
45	LSAGNd	n/a	0.159	LSA given/new, sentences, standard deviation
