Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	48	Paragraph count, number of paragraphs
2	DESSC	READNS	68	Sentence count, number of sentences
3	DESWC	READNW	2567	Word count, number of words
4	DESPL	READAPL	1.417	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	0.710	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	37.868	Sentence length, number of words, mean
7	DESSLd	n/a	29.680	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.541	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.823	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	4.712	Word length, number of letters, mean
11	DESWLltd	n/a	2.446	Word length, number of letters, standard deviation
12	PCNARz	n/a	0.387	Text Easability PC Narrativity, z score
13	PCNARp	n/a	64.800	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	-1.172	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	12.100	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	-0.479	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	31.920	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-0.587	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	28.100	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	0.455	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	67.360	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	0.863	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	80.510	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-2.034	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	2.120	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	-1.721	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	4.270	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.403	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.582	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.493	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.232	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.445	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.338	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.075	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.092	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.054	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.070	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0.403	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.157	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.121	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.143	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0.147	LSA overlap, adjacent paragraphs, mean
43	LSAPP1d	LSAppd	0.139	LSA overlap, adjacent paragraphs, standard deviation
44	LSAGN	LSAGN	0.151	LSA given/new, sentences, mean
45	LSAGNd	n/a	0.186	LSA given/new, sentences, standard deviation
46	LDTTRc	TYPTOKc	0.286	Lexical diversity, type-token ratio, content word lemmas
47	LDTTRa	n/a	0.119	Lexical diversity, type-token ratio, all words
48	LDMTLD	LEXDIVTD	0.546	Lexical diversity, MTLD, all words
